,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
2,John Malone,Secret,Bad,Blue,White,Male,Yes,15,Jan/1985,New Earth,DC,<100
3,"Samuel Bradley, Jr.",Public,Bad,Brown,Brown,Male,No,19,Mar/2004,New Earth,DC,<100
4,Hope Taya,Public,Bad,Brown,Black,Female,Yes,28,Dec/1999,New Earth,DC,<100
5,Trygg,Secret,Bad,Black,Black,Male,Yes,3,Jun/1940,New Earth,DC,<10
26,Simyan,Public,Bad,Brown,Brown,Male,Yes,20,Jan/1971,New Earth,DC,<100
29,Aya,Public,Bad,Black,Brown,Unknown,Yes,1,Jun/2011,New Earth,DC,<10
30,Sebastian Blood IX,Secret,Bad,Red,White,Male,No,12,Jan/2004,New Earth,DC,<100
39,Gunther Van Horn,Secret,Bad,Brown,Brown,Male,No,12,Oct/1993,New Earth,DC,<100
53,Rumaan Harjavti,Public,Bad,Brown,Black,Male,No,7,Jun/1987,New Earth,DC,<10
58,Viktor Burgos,Public,Bad,Yellow,Red,Male,No,2,Jun/2010,New Earth,DC,<10
63,Ewald Olafsson,Public,Bad,Blue,White,Male,No,6,Sep/1993,New Earth,DC,<10
71,Cyrus Gold,Secret,Bad,Black,White,Male,No,174,Oct/1944,New Earth,DC,<250
84,White Canary,Secret,Bad,Brown,Black,Female,Yes,6,Jul/2010,New Earth,DC,<10
86,Dark Opal,Public,Bad,Red,Black,Male,No,27,Apr/1983,New Earth,DC,<100
98,Titan II,Public,Bad,Brown,Black,Male,Yes,8,Dec/1998,New Earth,DC,<10
110,Orm Marius,Secret,Bad,Brown,Brown,Male,Yes,92,Oct/1966,New Earth,DC,<100
119,Hathak,Public,Bad,Yellow,Black,Male,No,1,Dec/1997,New Earth,DC,<10
120,Bobby Gazzo,Public,Bad,Brown,Brown,Male,No,1,Dec/1999,New Earth,DC,<10
141,Mordred,Public,Bad,White,Brown,Male,No,8,Jan/1946,New Earth,DC,<10
154,Nelson Arling,Secret,Bad,Black,Black,Male,Yes,2,Aug/1999,New Earth,DC,<10
156,Yalan Gur,Secret,Bad,Blue,Auburn,Male,No,3,Dec/1991,New Earth,DC,<10
157,Bertram Larvan,Secret,Bad,Black,Black,Male,No,11,Sep/1966,New Earth,DC,<100
159,Metalliferro,Public,Bad,Blue,Brown,Male,Yes,2,Nov/1983,New Earth,DC,<10
163,Throttle,Secret,Bad,White,Black,Male,Yes,7,Jun/1985,New Earth,DC,<10
166,Topkick,Non-dual,Bad,Blue,Blond,Male,Yes,1,Oct/1997,New Earth,DC,<10
191,Phantasm,Public,Bad,Brown,Brown,Unknown,Yes,1,Sep/1981,New Earth,DC,<10
192,Cossack,Secret,Bad,Black,Brown,Male,Yes,2,Jan/1978,New Earth,DC,<10
212,Harleen Quinzel,Public,Bad,Blue,Blond,Female,Yes,153,Oct/1999,New Earth,DC,<250
232,Blade Master,Public,Bad,Brown,No,Male,Yes,1,Jun/1981,New Earth,DC,<10
237,Bobo T. Chimpanzee,Public,Bad,Black,Black,Male,Yes,88,Aug/1952,New Earth,DC,<100
247,Quake,Secret,Bad,Brown,Black,Male,Yes,1,Sep/1994,New Earth,DC,<10
254,Norman Grimes,Non-dual,Bad,Blue,Orange,Male,Yes,1,Aug/1976,New Earth,DC,<10
259,Jesse,Public,Bad,Red,Black,Male,Yes,5,Aug/2008,New Earth,DC,<10
274,Four of Spades II,Non-dual,Bad,White,Red,Male,Yes,1,Apr/1992,New Earth,DC,<10
278,King of Spades V,Public,Bad,Red,Black,Male,Yes,5,Oct/2005,New Earth,DC,<10
293,Edward Arling,Public,Bad,Blue,Blond,Male,Yes,2,Feb/1988,New Earth,DC,<10
297,Edward Burke,Secret,Bad,Brown,Red,Male,Yes,5,Oct/1961,New Earth,DC,<10
303,Sledge,Secret,Bad,Red,White,Male,Yes,12,Jan/1995,New Earth,DC,<100
304,Daniel Turpin,Public,Bad,Brown,Brown,Male,No,261,Jun/1942,New Earth,DC,<500
317,Misfit,Secret,Bad,Brown,Red,Male,Yes,3,Sep/1992,New Earth,DC,<10
337,Jacob Bernstein,Secret,Bad,Blue,Blond,Male,Yes,4,Dec/1995,New Earth,DC,<10
341,Kevin Crow Clone,Secret,Bad,Brown,Red,Male,Yes,2,Jan/1994,New Earth,DC,<10
347,Jonas Sloe,Public,Bad,Brown,Red,Male,Yes,3,Nov/1989,New Earth,DC,<10
352,Bud and Lou the Hyenas,Secret,Bad,Blue,Brown,Male,No,9,Mar/2001,New Earth,DC,<10
358,Floyd Ventris,Public,Bad,Blue,Brown,Male,Yes,2,Nov/1954,New Earth,DC,<10
361,Output,Public,Bad,Green,Black,Male,Yes,1,Sep/1997,New Earth,DC,<10
364,Fury-6,Public,Bad,Black,Brown,Male,Yes,11,Dec/2008,New Earth,DC,<100
374,Redzone,Secret,Bad,Yellow,Red,Male,No,4,Jun/1994,New Earth,DC,<10
384,John Deleon,Public,Bad,Green,Black,Male,No,3,Nov/1969,New Earth,DC,<10
385,Dark Druid,Secret,Bad,Black,Brown,Male,Yes,2,Dec/2010,New Earth,DC,<10
388,Ragnar,Public,Bad,Brown,Black,Male,Yes,3,Mar/2012,Unknown,DC,<10
394,Anti-Hero,Secret,Bad,Brown,White,Male,Yes,2,Jul/1999,New Earth,DC,<10
399,Benito Gallo,Public,Bad,Yellow,White,Male,No,3,Mar/2000,New Earth,DC,<10
401,Shalako,Public,Bad,Green,Blond,Male,No,4,Mar/1990,New Earth,DC,<10
402,Kimiyo Hoshi,Secret,Bad,Black,Black,Female,Yes,189,Jul/1985,New Earth,DC,<250
404,Edison,Secret,Bad,Brown,Black,Male,Yes,10,Jun/2006,New Earth,DC,<10
405,Butcher,Secret,Bad,Brown,Black,Unknown,No,17,May/2010,New Earth,DC,<100
414,Kai,Secret,Bad,Brown,Black,Male,No,9,Jul/1995,New Earth,DC,<10
416,Gary Johnson,Secret,Bad,Brown,Auburn,Male,Yes,1,Aug/1983,New Earth,DC,<10
420,Dust Devil,Secret,Bad,Brown,Black,Female,Yes,3,Apr/2010,New Earth,DC,<10
422,Martin van Wyck,Secret,Bad,Blue,Blond,Male,No,27,Mar/1999,New Earth,DC,<100
425,Alec Rois,Secret,Bad,Blue,Black,Male,Yes,13,Apr/1988,New Earth,DC,<100
429,Bette Noir,Secret,Bad,Grey,Black,Female,Yes,2,Feb/1999,New Earth,DC,<10
431,Mad Hatter II,Secret,Bad,Blue,Red,Male,Yes,12,Apr/1956,New Earth,DC,<100
435,Mariposa Nichol,Public,Bad,Brown,No,Female,Yes,6,Sep/2008,New Earth,DC,<10
438,Piledriver,Secret,Bad,Blue,Black,Male,Yes,2,Sep/1981,New Earth,DC,<10
448,Stheno,Public,Bad,Brown,Black,Female,Yes,11,Feb/2001,New Earth,DC,<100
449,Theodore Gavlin,Secret,Bad,Blue,Grey,Male,No,3,Jun/2006,New Earth,DC,<10
453,Gyro,Secret,Bad,Blue,Black,Male,Yes,2,Apr/1993,New Earth,DC,<10
454,Creighton Kendall,Public,Bad,White,Black,Male,No,11,Jun/1992,New Earth,DC,<100
455,Ohm,Secret,Bad,Black,Brown,Male,Yes,1,May/1994,New Earth,DC,<10
456,Eobard Thawne,Secret,Bad,Blue,Red,Male,No,89,Sep/1963,New Earth,DC,<100
467,Ubu,Public,Bad,Blue,Blond,Male,Yes,33,Jun/1971,New Earth,DC,<100
470,Chama Sierra,Non-dual,Bad,Brown,Black,Male,Yes,3,Nov/1995,New Earth,DC,<10
471,William Tockman,Public,Bad,Blue,Black,Male,No,32,Aug/1960,New Earth,DC,<100
480,Freelance,Public,Bad,Yellow,Black,Male,Yes,1,Dec/1994,New Earth,DC,<10
485,Randall Mikavic,Secret,Bad,Grey,Brown,Male,Yes,4,Sep/2010,New Earth,DC,<10
486,Charliehorse,Secret,Bad,Black,Brown,Male,Yes,2,Nov/2005,New Earth,DC,<10
488,Metalhead,Secret,Bad,Blue,Brown,Male,Yes,3,Nov/1992,New Earth,DC,<10
498,Eric Forrester,Non-dual,Bad,Blue,Black,Male,No,3,Oct/1988,New Earth,DC,<10
499,Thunderer II,Secret,Bad,White,Brown,Male,No,1,Dec/2007,New Earth,DC,<10
503,Jonathan Law,Secret,Bad,Blue,Blond,Male,No,84,Oct/1941,New Earth,DC,<100
504,Cornelius Stirk,Public,Bad,Blue,No,Male,Yes,22,Nov/1988,New Earth,DC,<100
506,Miss Army Knife,Secret,Bad,Green,Blond,Female,No,3,Aug/2009,New Earth,DC,<10
527,Daniel Maris,Public,Bad,Brown,Brown,Male,No,2,Mar/1996,New Earth,DC,<10
553,Konrad Kaslak,Public,Bad,Blue,White,Male,Yes,5,Sep/1990,New Earth,DC,<10
569,Milton Kroft,Secret,Bad,Brown,Brown,Male,Yes,5,Feb/2010,New Earth,DC,<10
595,Kajz Dox,Secret,Bad,Green,Blond,Male,Yes,2,Aug/1965,Unknown,DC,<10
597,Five of Diamonds I,Secret,Bad,White,Blond,Male,Yes,1,Apr/1992,New Earth,DC,<10
602,Doll Face,Secret,Bad,Green,Blond,Female,Yes,3,Dec/2010,New Earth,DC,<10
612,Wotan,Secret,Bad,Black,Green,Male,Yes,26,May/1940,New Earth,DC,<100
632,Marcus Wise,Public,Bad,Black,Brown,Male,Yes,13,Mar/2008,New Earth,DC,<100
641,Taro Raiden,Secret,Bad,White,Black,Male,No,9,Nov/1986,New Earth,DC,<10
649,Mordru,Public,Bad,Hazel,Brown,Male,Yes,36,Jun/1968,New Earth,DC,<100
658,Black Commando,Secret,Bad,Brown,Red,Male,Yes,1,Dec/2010,New Earth,DC,<10
659,Karl Courtney,Secret,Bad,Blue,Red,Male,No,10,Jun/1976,New Earth,DC,<10
662,Willis Danko,Public,Bad,Black,Red,Male,No,3,Jan/1995,New Earth,DC,<10
670,Klaus Cornelius,Public,Bad,Blue,Grey,Male,Yes,11,Jul/1987,New Earth,DC,<100
677,Abner Krill,Secret,Bad,Blue,Black,Male,No,8,Feb/1962,New Earth,DC,<10
688,Scar,Secret,Bad,Black,No,Female,No,49,Jan/2008,New Earth,DC,<100
692,Anton Lamont,Secret,Bad,Blue,White,Male,Yes,22,Oct/1978,New Earth,DC,<100
698,Ian Karkull,Public,Bad,White,Brown,Male,No,11,Jul/1941,New Earth,DC,<100
700,Twilight,Secret,Bad,Yellow,Brown,Female,No,2,Apr/1996,New Earth,DC,<10
702,Bonehead,Secret,Bad,Black,Brown,Male,Yes,1,Nov/2010,New Earth,DC,<10
704,Motalla,Public,Bad,Brown,Black,Female,Yes,3,Jun/1997,New Earth,DC,<10
707,Harmonia,Public,Bad,Blue,Blond,Female,Yes,14,Feb/1987,New Earth,DC,<100
708,Leron,Public,Bad,Brown,Bald,Male,Yes,4,Oct/1963,New Earth,DC,<10
727,Erszebet Bathory,Public,Bad,Brown,Blond,Female,Yes,1,Apr/2009,New Earth,DC,<10
730,Amunet Black,Public,Bad,Black,Blue,Female,Yes,10,Aug/2001,New Earth,DC,<10
746,Ned Creegan,Public,Bad,Black,Brown,Male,Yes,5,Sep/1967,New Earth,DC,<10
