,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,John Malone,Secret,Bad,Blue,White,Male,Yes,15,Jan-1985,New Earth,DC,<100
1,"Samuel Bradley, Jr.",Public,Bad,Brown,Brown,Male,No,19,Mar-2004,New Earth,DC,<100
2,Hope Taya,Public,Bad,Brown,Black,Female,Yes,28,Dec-1999,New Earth,DC,<100
3,Trygg,Secret,Bad,Black,Black,Male,Yes,3,Jun-1940,New Earth,DC,<10
4,Simyan,Public,Bad,Brown,Brown,Male,Yes,20,Jan-1971,New Earth,DC,<100
5,Aya,Public,Bad,Black,Brown,Unknown,Yes,1,Jun-2011,New Earth,DC,<10
6,Sebastian Blood IX,Secret,Bad,Red,White,Male,No,12,Jan-2004,New Earth,DC,<100
7,Gunther Van Horn,Secret,Bad,Brown,Brown,Male,No,12,Oct-1993,New Earth,DC,<100
8,Rumaan Harjavti,Public,Bad,Brown,Black,Male,No,7,Jun-1987,New Earth,DC,<10
9,Viktor Burgos,Public,Bad,Yellow,Red,Male,No,2,Jun-2010,New Earth,DC,<10
10,Ewald Olafsson,Public,Bad,Blue,White,Male,No,6,Sep-1993,New Earth,DC,<10
11,Cyrus Gold,Secret,Bad,Black,White,Male,No,174,Oct-1944,New Earth,DC,<250
12,White Canary,Secret,Bad,Brown,Black,Female,Yes,6,Jul-2010,New Earth,DC,<10
13,Dark Opal,Public,Bad,Red,Black,Male,No,27,Apr-1983,New Earth,DC,<100
14,Titan II,Public,Bad,Brown,Black,Male,Yes,8,Dec-1998,New Earth,DC,<10
15,Orm Marius,Secret,Bad,Brown,Brown,Male,Yes,92,Oct-1966,New Earth,DC,<100
16,Hathak,Public,Bad,Yellow,Black,Male,No,1,Dec-1997,New Earth,DC,<10
17,Bobby Gazzo,Public,Bad,Brown,Brown,Male,No,1,Dec-1999,New Earth,DC,<10
18,Mordred,Public,Bad,White,Brown,Male,No,8,Jan-1946,New Earth,DC,<10
19,Nelson Arling,Secret,Bad,Black,Black,Male,Yes,2,Aug-1999,New Earth,DC,<10
20,Yalan Gur,Secret,Bad,Blue,Auburn,Male,No,3,Dec-1991,New Earth,DC,<10
