,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
6,Boris Dmitravich Razumihin,Public,Good,Brown,Black,Male,Yes,7,Dec/1987,New Earth,DC,<10
7,Perry White,Public,Good,Blue,Brown,Male,Yes,350,Oct/1986,New Earth,DC,<500
11,Vladimir Morakov,Public,Good,Black,Brown,Male,Yes,8,Dec/1989,New Earth,DC,<10
17,Nina Mazursky,Secret,Good,White,No,Female,Yes,3,Aug/2011,New Earth,DC,<10
18,Tubby Watts,Secret,Good,Brown,Red,Male,Yes,137,Sep/1941,New Earth,DC,<250
19,Growler,Non-dual,Good,Brown,Black,Male,Yes,11,Apr/1998,New Earth,DC,<100
21,Russell Tenclouds,Public,Good,Blue,Black,Male,No,5,Nov/1994,New Earth,DC,<10
22,Edward Trane,Secret,Good,Brown,White,Male,No,2,Feb/1983,New Earth,DC,<10
38,Jarras Minion,Secret,Good,Blue,Green,Male,Yes,25,Sep/1994,New Earth,DC,<100
42,Tongs,Secret,Good,White,Brown,Male,Yes,2,Dec/2010,New Earth,DC,<10
43,Korlian Dasor,Public,Good,Black,Blond,Male,Yes,10,Oct/1961,New Earth,DC,<10
49,Rachel Rathaway,Public,Good,Blue,Red,Female,Yes,1,Nov/1989,New Earth,DC,<10
61,Face II,Secret,Good,Brown,Black,Male,No,5,Jan/2009,New Earth,DC,<10
67,Tag-A-Long Thomas,Secret,Good,Brown,Blond,Male,Yes,3,Nov/1961,New Earth,DC,<10
74,Frederick Tuckman,Public,Good,Black,Black,Male,Yes,13,May/2006,New Earth,DC,<100
103,Anthony Mantegna,Secret,Good,Grey,Black,Male,Yes,24,May/1988,New Earth,DC,<100
105,Clay Kendall,Public,Good,Black,Blond,Male,No,19,Jan/1984,New Earth,DC,<100
109,Bernhard Baker,Secret,Good,Blue,Blond,Male,Yes,229,Sep/1965,New Earth,DC,<250
116,Michelle Carter,Secret,Good,Blue,Blond,Female,Yes,32,Jul/1986,New Earth,DC,<100
127,Holly Granger,Secret,Good,Blue,Red,Female,No,23,May/2005,New Earth,DC,<100
133,Cody Driscoll,Secret,Good,Green,Blond,Male,Yes,52,Oct/1996,New Earth,DC,<100
139,Joseph Hand,Secret,Good,Brown,Brown,Male,Yes,3,Jun/1964,New Earth,DC,<10
150,Jonah Hex,Public,Good,Blue,Blond,Male,No,291,Mar/1972,New Earth,DC,<500
175,Molecule,Secret,Good,Green,Blond,Male,No,4,Dec/2006,New Earth,DC,<10
189,Henry Hackenbacker,Public,Good,Brown,Blond,Male,Yes,2,Mar/2011,New Earth,DC,<10
194,Taj-Ze,Public,Good,Brown,Black,Male,Yes,8,Feb/1969,New Earth,DC,<10
197,Starfire,Public,Good,Blue,Black,Female,Yes,15,Sep/1976,New Earth,DC,<100
204,Ranakar,Public,Good,Blue,White,Male,Yes,1,Aug/1983,New Earth,DC,<10
213,Dennap,Public,Good,Blue,White,Female,Yes,1,Nov/2003,New Earth,DC,<10
214,Xax,Secret,Good,Black,Grey,Male,No,25,Dec/1961,New Earth,DC,<100
227,Ion,Secret,Good,Green,No,Unknown,No,45,Apr/2006,New Earth,DC,<100
231,T-Cher,Secret,Good,Blue,Black,Male,Yes,3,Aug/1983,New Earth,DC,<10
243,Jack Jordan,Secret,Good,Yellow,Brown,Male,Yes,28,Dec/1961,New Earth,DC,<100
244,Solomon Driver,Public,Good,Hazel,Brown,Male,Yes,4,Sep/1973,New Earth,DC,<10
246,Althesia,Secret,Good,Blue,Brown,Female,Yes,1,Jul/1997,New Earth,DC,<10
272,Victory,Secret,Good,Black,White,Male,Yes,130,Sep/1941,New Earth,DC,<250
276,Jonathan L. Thunder,Secret,Good,Blue,Blond,Male,Yes,282,Jan/1940,New Earth,DC,<500
280,Bzzd,Public,Good,Red,Brown,Male,No,15,Jul/2007,New Earth,DC,<100
285,Guinevere,Public,Good,Black,Blond,Female,Yes,15,Feb/1936,New Earth,DC,<100
288,Mark Armstrong,Secret,Good,Green,Brown,Male,Yes,1,Dec/1994,New Earth,DC,<10
309,Arthur Pendragon,Public,Good,Brown,Brown,Male,Yes,41,Feb/1936,New Earth,DC,<100
310,Fernando Suarez,Non-dual,Good,Brown,Black,Male,Yes,4,Jan/1940,New Earth,DC,<10
312,Khaji Ro,Secret,Good,Blue,Brown,Female,Yes,2,Mar/2009,New Earth,DC,<10
313,Master Shoju,Public,Good,Blue,Black,Male,No,2,Oct/1981,New Earth,DC,<10
319,SVRMiger,Secret,Good,Blue,Bald,Male,Yes,1,Aug/2011,New Earth,DC,<10
320,Janet Jones,Public,Good,Brown,Blond,Female,Yes,5,May/1969,New Earth,DC,<10
326,Boreas,Public,Good,Black,Black,Male,Yes,2,Nov/1966,New Earth,DC,<10
363,Ephyra,Public,Good,White,Blue,Female,Yes,6,Sep/1996,New Earth,DC,<10
366,Ace the Bat-Hound,Secret,Good,Black,Brown,Male,Yes,14,May/1991,New Earth,DC,<100
371,Rhea Jones,Secret,Good,White,Red,Female,Yes,35,Dec/1987,New Earth,DC,<100
377,Mona Bennett,Secret,Good,Blue,Blond,Female,Yes,48,Jul/1963,New Earth,DC,<100
387,Topo II,Secret,Good,White,Brown,Male,Yes,8,May/2007,New Earth,DC,<10
