,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
8,Perkins,Public,Bad,Green,White,Female,Yes,1,Oct/1964,Earth-616,Marvel,<10
9,Zuhn,Secret,Bad,White,Blond,Male,No,3,Nov/2000,Earth-616,Marvel,<10
10,Azaziah,Secret,Bad,Blue,White,Male,Yes,4,Apr/1980,Earth-616,Marvel,<10
12,Wild One,Public,Bad,Variable,Black,Male,Yes,3,Jul/1992,Earth-616,Marvel,<10
15,Black Cougar,Non-dual,Bad,Black,Black,Male,No,1,Sep/1951,Earth-616,Marvel,<10
20,Raleigh Halward,Secret,Bad,Yellow,Blond,Male,Yes,4,Feb/1983,Earth-616,Marvel,<10
25,Shathra,Non-dual,Bad,White,Black,Female,Yes,10,Dec/2002,Earth-616,Marvel,<10
27,String,Secret,Bad,Green,Brown,Male,Yes,1,Oct/1989,Earth-616,Marvel,<10
28,Reynardo,Secret,Bad,Black,Brown,Male,No,1,Nov/1988,Earth-616,Marvel,<10
33,Dark-Crawler,Secret,Bad,Red,Black,Male,Yes,10,Apr/1970,Earth-616,Marvel,<10
34,Butch Cantwell,Public,Bad,Green,Black,Male,Yes,1,Apr/1945,Earth-616,Marvel,<10
37,Mister Magic,Secret,Bad,Red,Black,Male,Yes,1,Aug/1982,Earth-616,Marvel,<10
40,Vranx,Secret,Bad,Green,No,Male,Yes,2,Feb/1994,Earth-616,Marvel,<10
45,John Judson,Public,Bad,Brown,Brown,Male,Yes,2,Jul/1980,Earth-616,Marvel,<10
50,Zxaxz,Public,Bad,Red,No,Male,Yes,6,Jan/1988,Earth-616,Marvel,<10
56,Lucius P. Gregory,Non-dual,Bad,Black,Bald,Male,Yes,3,Dec/1961,Earth-616,Marvel,<10
60,Big Casino,Secret,Bad,White,Red,Male,No,1,Aug/2000,Earth-616,Marvel,<10
66,Bradley Manning,Secret,Bad,Brown,Brown,Male,No,1,Sep/1944,Earth-616,Marvel,<10
76,Nebulo,Public,Bad,No,No,Male,Yes,12,Oct/1968,Earth-616,Marvel,<100
78,Salvatore Carbone,Non-dual,Bad,Black,Black,Male,Yes,7,Mar/1992,Earth-616,Marvel,<10
79,Ogre,Secret,Bad,Brown,Brown,Male,Yes,1,Dec/1944,Earth-616,Marvel,<10
85,Eric Reardon,Secret,Bad,Blue,No,Male,No,5,Jan/1987,Earth-616,Marvel,<10
90,Sheila Hanson,Public,Bad,Blue,Black,Female,Yes,1,Dec/1985,Earth-616,Marvel,<10
92,Unicorn,Secret,Bad,Green,Orange,Male,Yes,3,Jan/2013,Earth-616,Marvel,<10
93,Zandor,Non-dual,Bad,Brown,Bald,Male,Yes,3,Jan/1975,Earth-616,Marvel,<10
99,Arthur Thornhill,Non-dual,Bad,Blue,Black,Male,Yes,1,Mar/1978,Earth-616,Marvel,<10
