,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,Perkins,Public,Bad,Green,White,Female,Yes,1,Oct-1964,Earth-616,Marvel,<10
1,Zuhn,Secret,Bad,White,Blond,Male,No,3,Nov-2000,Earth-616,Marvel,<10
2,Azaziah,Secret,Bad,Blue,White,Male,Yes,4,Apr-1980,Earth-616,Marvel,<10
3,Wild One,Public,Bad,Variable,Black,Male,Yes,3,Jul-1992,Earth-616,Marvel,<10
4,Black Cougar,Non-dual,Bad,Black,Black,Male,No,1,Sep-1951,Earth-616,Marvel,<10
5,Raleigh Halward,Secret,Bad,Yellow,Blond,Male,Yes,4,Feb-1983,Earth-616,Marvel,<10
6,Shathra,Non-dual,Bad,White,Black,Female,Yes,10,Dec-2002,Earth-616,Marvel,<10
7,String,Secret,Bad,Green,Brown,Male,Yes,1,Oct-1989,Earth-616,Marvel,<10
8,Reynardo,Secret,Bad,Black,Brown,Male,No,1,Nov-1988,Earth-616,Marvel,<10
9,Dark-Crawler,Secret,Bad,Red,Black,Male,Yes,10,Apr-1970,Earth-616,Marvel,<10
10,Butch Cantwell,Public,Bad,Green,Black,Male,Yes,1,Apr-1945,Earth-616,Marvel,<10
11,Mister Magic,Secret,Bad,Red,Black,Male,Yes,1,Aug-1982,Earth-616,Marvel,<10
12,Vranx,Secret,Bad,Green,No,Male,Yes,2,Feb-1994,Earth-616,Marvel,<10
13,John Judson,Public,Bad,Brown,Brown,Male,Yes,2,Jul-1980,Earth-616,Marvel,<10
14,Zxaxz,Public,Bad,Red,No,Male,Yes,6,Jan-1988,Earth-616,Marvel,<10
15,Lucius P. Gregory,Non-dual,Bad,Black,Bald,Male,Yes,3,Dec-1961,Earth-616,Marvel,<10
16,Big Casino,Secret,Bad,White,Red,Male,No,1,Aug-2000,Earth-616,Marvel,<10
17,Bradley Manning,Secret,Bad,Brown,Brown,Male,No,1,Sep-1944,Earth-616,Marvel,<10
18,Nebulo,Public,Bad,No,No,Male,Yes,12,Oct-1968,Earth-616,Marvel,<100
19,Salvatore Carbone,Non-dual,Bad,Black,Black,Male,Yes,7,Mar-1992,Earth-616,Marvel,<10
20,Ogre,Secret,Bad,Brown,Brown,Male,Yes,1,Dec-1944,Earth-616,Marvel,<10
21,Eric Reardon,Secret,Bad,Blue,No,Male,No,5,Jan-1987,Earth-616,Marvel,<10
22,Sheila Hanson,Public,Bad,Blue,Black,Female,Yes,1,Dec-1985,Earth-616,Marvel,<10
23,Unicorn,Secret,Bad,Green,Orange,Male,Yes,3,Jan-2013,Earth-616,Marvel,<10
24,Zandor,Non-dual,Bad,Brown,Bald,Male,Yes,3,Jan-1975,Earth-616,Marvel,<10
25,Arthur Thornhill,Non-dual,Bad,Blue,Black,Male,Yes,1,Mar-1978,Earth-616,Marvel,<10
26,Sean Dolan,Secret,Bad,White,No,Male,Yes,13,Jul-1990,Earth-616,Marvel,<100
27,Ralph Sorrell,Public,Bad,Blue,Brown,Male,No,1,Nov-1973,Earth-616,Marvel,<10
28,Provost,Secret,Bad,Blue,Bald,Male,Yes,3,Apr-2006,Earth-616,Marvel,<10
29,Snake Lady of Sinyong,Public,Bad,Brown,Black,Female,No,2,Oct-1954,Earth-616,Marvel,<10
30,Swift,Secret,Bad,Brown,Black,Male,No,2,Sep-1992,Earth-616,Marvel,<10
31,Agent of 1000 Faces,Secret,Bad,Yellow,Black,Male,Yes,6,Sep-1968,Earth-616,Marvel,<10
32,Colonel Kishi,Public,Bad,Green,Black,Male,No,1,Jun-1944,Earth-616,Marvel,<10
33,Dane Whitman,Secret,Bad,Black,Brown,Male,No,1,May-1998,Earth-616,Marvel,<10
34,Yutaka,Non-dual,Bad,Blue,Black,Male,Yes,3,Apr-2010,Earth-616,Marvel,<10
35,Weapon Y,Secret,Bad,Blue,Blond,Male,Yes,1,May-1993,Earth-616,Marvel,<10
36,Prophet of Hate,Secret,Bad,Red,Black,Male,No,1,Jan-1945,Earth-616,Marvel,<10
37,Nancy Reagan,Public,Bad,Green,Black,Female,Yes,1,Aug-1984,Earth-616,Marvel,<10
38,Eleyn,Secret,Bad,Blue,Blond,Female,Yes,2,Jan-1994,Earth-616,Marvel,<10
39,Dmitri Ivankov,Public,Bad,Blue,Blond,Male,Yes,1,May-2009,Earth-616,Marvel,<10
40,Mike Farrell,Secret,Bad,Blue,Brown,Male,No,22,Sep-1979,Earth-616,Marvel,<100
41,Brent Jackson,Public,Bad,Blue,Blond,Male,Yes,32,Jun-2001,Earth-616,Marvel,<100
42,Bi-Beast,Public,Bad,Black,No,Male,No,8,Nov-1973,Earth-616,Marvel,<10
43,Dwaine Hess,Secret,Bad,Blue,Blond,Male,Yes,3,Sep-1988,Earth-616,Marvel,<10
44,Herr Mongrel,Secret,Bad,Black,Brown,Male,No,1,Sep-1942,Earth-616,Marvel,<10
45,Senator Doaks,Secret,Bad,Brown,White,Male,No,1,Mar-1944,Earth-616,Marvel,<10
46,Foreigner,Non-dual,Bad,Brown,Black,Male,Yes,35,Jun-1986,Earth-616,Marvel,<100
47,Robert Chalmers,Non-dual,Bad,Brown,Brown,Male,Yes,9,Jun-1969,Earth-616,Marvel,<10
48,Vixen,Public,Bad,Blue,White,Female,No,1,Nov-1945,Earth-616,Marvel,<10
49,Smith,Secret,Bad,Yellow,Black,Male,Yes,2,Dec-2005,Earth-616,Marvel,<10
50,Sinister Soofi,Secret,Bad,Blue,White,Male,Yes,2,Feb-1978,Earth-616,Marvel,<10
51,Ava Peloso,Secret,Bad,Black,Brown,Female,Yes,3,May-1994,Earth-616,Marvel,<10
52,Brushfire,Secret,Bad,Red,Red,Male,Yes,1,Sep-2006,Earth-616,Marvel,<10
53,Alkhema,Non-dual,Bad,Variable,No,Female,Yes,16,Jan-1993,Earth-616,Marvel,<100
54,Benjamin Tibbets,Secret,Bad,Blue,Blond,Male,No,6,Aug-2000,Earth-616,Marvel,<10
55,Slash,Secret,Bad,Brown,Red,Female,Yes,10,Jun-1984,Earth-616,Marvel,<10
56,Z2,Public,Bad,Blue,Bald,Unknown,No,1,Aug-1969,Earth-616,Marvel,<10
57,Mother of Pearl,Secret,Bad,Auburn,Brown,Female,Yes,1,Jun-1996,Earth-616,Marvel,<10
58,Nyko Halfghanaghan,Non-dual,Bad,Blue,Grey,Male,Yes,2,Aug-1993,Earth-616,Marvel,<10
59,Reginald Fortean,Public,Bad,Blue,Black,Male,Yes,17,May-2011,Earth-616,Marvel,<100
60,Simon Leech,Public,Bad,Brown,Black,Male,No,1,Jul-1952,Earth-616,Marvel,<10
61,Mister Thos,Public,Bad,White,Bald,Male,Yes,1,Dec-1942,Earth-616,Marvel,<10
62,Alfonso Lopez,Secret,Bad,Blue,Black,Male,No,4,May-1997,Earth-616,Marvel,<10
63,Surtur,Non-dual,Bad,Yellow,Red,Male,No,79,Oct-1963,Earth-616,Marvel,<100
64,Forget-Me-Not,Secret,Bad,Purple,Purple,Female,Yes,4,Aug-2007,Earth-616,Marvel,<10
