,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
13,Caryn Wise,Non-dual,Neutral,White,Brown,Female,Yes,2,Apr/1983,Earth-616,Marvel,<10
14,Otto Octavius,Secret,Neutral,Hazel,Brown,Male,No,526,Jul/1963,Earth-616,Marvel,<750
31,Phantom of the Bell Tower,Secret,Neutral,Red,Bald,Male,Yes,1,Jan/1942,Earth-616,Marvel,<10
32,Tamara Hashioka,Non-dual,Neutral,Black,Black,Female,Yes,22,Aug/1977,Earth-616,Marvel,<100
46,Ouranos,Public,Neutral,Variable,Variable,Male,Yes,3,Jun/2008,Earth-616,Marvel,<10
55,Augustus,Secret,Neutral,Brown,Blond,Male,Yes,10,Sep/2005,Earth-616,Marvel,<10
59,Elli,Secret,Neutral,Variable,Black,Unknown,Yes,1,Jun/1978,Earth-616,Marvel,<10
62,Xorak,Secret,Neutral,White,Brown,Male,No,3,Jun/1967,Earth-616,Marvel,<10
64,Rachel Argosy,Public,Neutral,Blue,Blue,Female,Yes,7,Jun/1992,Earth-616,Marvel,<10
75,Pyreus Kril,Secret,Neutral,White,Yellow,Male,Yes,99,Jul/1974,Earth-616,Marvel,<100
80,Cain Marko,Public,Neutral,Blue,Red,Male,Yes,329,Jul/1965,Earth-616,Marvel,<500
81,Madcap,Secret,Neutral,Blue,Brown,Male,Yes,36,Jul/1985,Earth-616,Marvel,<100
91,Thomas Philip Moreau,Public,Neutral,Brown,Bald,Male,No,3,May/1999,Earth-616,Marvel,<10
94,Lawrence Trask,Secret,Neutral,Brown,Brown,Male,No,14,Jun/1969,Earth-616,Marvel,<100
96,Anpu,Public,Neutral,Blue,White,Male,Yes,6,Aug/1976,Earth-616,Marvel,<10
100,Set,Secret,Neutral,Blue,White,Unknown,Yes,10,Oct/1973,Earth-616,Marvel,<10
102,Sharon Ginsberg,Non-dual,Neutral,Blue,Brown,Female,Yes,9,Oct/2002,Earth-616,Marvel,<10
111,Opistho,Public,Neutral,Black,White,Male,Yes,1,Jun/2009,Earth-616,Marvel,<10
115,Victoria Hand,Non-dual,Neutral,Hazel,Black,Female,No,98,Feb/2009,Earth-616,Marvel,<100
117,Raymond Wil,Public,Neutral,Brown,Brown,Male,Yes,1,Sep/1944,Earth-616,Marvel,<10
130,Agent Crock,Secret,Neutral,Green,Brown,Male,Yes,1,Oct/1987,Earth-616,Marvel,<10
131,Esther Lucas,Non-dual,Neutral,Brown,Black,Female,No,3,Jun/1992,Earth-616,Marvel,<10
132,Galin,Public,Neutral,Blue,No,Male,No,4,Nov/2009,Earth-616,Marvel,<10
136,Nigandan General,Public,Neutral,Yellow,Red,Male,Yes,1,Jun/2005,Earth-616,Marvel,<10
143,Debra Whitman,Non-dual,Neutral,Green,Blond,Female,Yes,58,Sep/1979,Earth-616,Marvel,<100
147,Bailiff,Secret,Neutral,Blue,White,Male,Yes,2,Sep/1994,Earth-616,Marvel,<10
152,Brianna Robbins,Public,Neutral,Brown,Brown,Female,Yes,7,Jun/2010,Earth-616,Marvel,<10
161,Bella Blaire,Non-dual,Neutral,Blue,Grey,Female,Yes,12,Mar/1981,Earth-616,Marvel,<100
200,Joey Milton,Public,Neutral,Blue,Brown,Male,Yes,1,Aug/1948,Earth-616,Marvel,<10
236,Horst Lederer,Public,Neutral,Blue,No,Male,Yes,2,Jul/1966,Earth-616,Marvel,<10
250,Gregory Herd,Secret,Neutral,Blue,Black,Male,Yes,22,Nov/1995,Earth-616,Marvel,<100
270,Darby Dean,Public,Neutral,White,Black,Male,Yes,10,Jan/1988,Earth-616,Marvel,<10
277,Walt Neilson,Non-dual,Neutral,Brown,Brown,Male,Yes,1,Mar/1946,Earth-616,Marvel,<10
279,Kometes,Public,Neutral,Brown,Blond,Male,No,2,Jul/1974,Earth-616,Marvel,<10
290,Antonio Rodriguez,Secret,Neutral,Brown,No,Male,Yes,51,Aug/1985,Earth-616,Marvel,<100
298,Mentor,Public,Neutral,White,No,Male,Yes,48,Oct/1977,Earth-616,Marvel,<100
302,Sapphiras,Public,Neutral,Yellow,No,Female,Yes,6,Jun/1995,Earth-616,Marvel,<10
305,Ent,Secret,Neutral,Red,Brown,Male,Yes,2,Jun/1991,Earth-616,Marvel,<10
318,Chava Prydeman,Secret,Neutral,Blue,Brown,Female,No,1,Nov/1985,Earth-616,Marvel,<10
324,Akihira,Secret,Neutral,Black,Black,Male,No,3,Aug/2008,Earth-616,Marvel,<10
334,Fiona McCormick,Public,Neutral,Black,Red,Female,No,3,Dec/1990,Earth-616,Marvel,<10
335,Primo Falcone,Public,Neutral,White,Black,Male,Yes,2,Aug/2004,Earth-616,Marvel,<10
