,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,Caryn Wise,Non-dual,Neutral,White,Brown,Female,Yes,2,Apr-1983,Earth-616,Marvel,<10
1,Otto Octavius,Secret,Neutral,Hazel,Brown,Male,No,526,Jul-1963,Earth-616,Marvel,<750
2,Phantom of the Bell Tower,Secret,Neutral,Red,Bald,Male,Yes,1,Jan-1942,Earth-616,Marvel,<10
3,Tamara Hashioka,Non-dual,Neutral,Black,Black,Female,Yes,22,Aug-1977,Earth-616,Marvel,<100
4,Ouranos,Public,Neutral,Variable,Variable,Male,Yes,3,Jun-2008,Earth-616,Marvel,<10
5,Augustus,Secret,Neutral,Brown,Blond,Male,Yes,10,Sep-2005,Earth-616,Marvel,<10
6,Elli,Secret,Neutral,Variable,Black,Unknown,Yes,1,Jun-1978,Earth-616,Marvel,<10
7,Xorak,Secret,Neutral,White,Brown,Male,No,3,Jun-1967,Earth-616,Marvel,<10
8,Rachel Argosy,Public,Neutral,Blue,Blue,Female,Yes,7,Jun-1992,Earth-616,Marvel,<10
9,Pyreus Kril,Secret,Neutral,White,Yellow,Male,Yes,99,Jul-1974,Earth-616,Marvel,<100
10,Cain Marko,Public,Neutral,Blue,Red,Male,Yes,329,Jul-1965,Earth-616,Marvel,<500
11,Madcap,Secret,Neutral,Blue,Brown,Male,Yes,36,Jul-1985,Earth-616,Marvel,<100
12,Thomas Philip Moreau,Public,Neutral,Brown,Bald,Male,No,3,May-1999,Earth-616,Marvel,<10
13,Lawrence Trask,Secret,Neutral,Brown,Brown,Male,No,14,Jun-1969,Earth-616,Marvel,<100
14,Anpu,Public,Neutral,Blue,White,Male,Yes,6,Aug-1976,Earth-616,Marvel,<10
15,Set,Secret,Neutral,Blue,White,Unknown,Yes,10,Oct-1973,Earth-616,Marvel,<10
16,Sharon Ginsberg,Non-dual,Neutral,Blue,Brown,Female,Yes,9,Oct-2002,Earth-616,Marvel,<10
17,Opistho,Public,Neutral,Black,White,Male,Yes,1,Jun-2009,Earth-616,Marvel,<10
18,Victoria Hand,Non-dual,Neutral,Hazel,Black,Female,No,98,Feb-2009,Earth-616,Marvel,<100
19,Raymond Wil,Public,Neutral,Brown,Brown,Male,Yes,1,Sep-1944,Earth-616,Marvel,<10
20,Agent Crock,Secret,Neutral,Green,Brown,Male,Yes,1,Oct-1987,Earth-616,Marvel,<10
21,Esther Lucas,Non-dual,Neutral,Brown,Black,Female,No,3,Jun-1992,Earth-616,Marvel,<10
22,Galin,Public,Neutral,Blue,No,Male,No,4,Nov-2009,Earth-616,Marvel,<10
23,Nigandan General,Public,Neutral,Yellow,Red,Male,Yes,1,Jun-2005,Earth-616,Marvel,<10
24,Debra Whitman,Non-dual,Neutral,Green,Blond,Female,Yes,58,Sep-1979,Earth-616,Marvel,<100
