,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,Boris Dmitravich Razumihin,Public,Good,Brown,Black,Male,Yes,7,Dec-1987,New Earth,DC,<10
1,Perry White,Public,Good,Blue,Brown,Male,Yes,350,Oct-1986,New Earth,DC,<500
2,Vladimir Morakov,Public,Good,Black,Brown,Male,Yes,8,Dec-1989,New Earth,DC,<10
3,Nina Mazursky,Secret,Good,White,No,Female,Yes,3,Aug-2011,New Earth,DC,<10
4,Tubby Watts,Secret,Good,Brown,Red,Male,Yes,137,Sep-1941,New Earth,DC,<250
5,Growler,Non-dual,Good,Brown,Black,Male,Yes,11,Apr-1998,New Earth,DC,<100
6,Russell Tenclouds,Public,Good,Blue,Black,Male,No,5,Nov-1994,New Earth,DC,<10
7,Edward Trane,Secret,Good,Brown,White,Male,No,2,Feb-1983,New Earth,DC,<10
8,Jarras Minion,Secret,Good,Blue,Green,Male,Yes,25,Sep-1994,New Earth,DC,<100
9,Tongs,Secret,Good,White,Brown,Male,Yes,2,Dec-2010,New Earth,DC,<10
10,Korlian Dasor,Public,Good,Black,Blond,Male,Yes,10,Oct-1961,New Earth,DC,<10
11,Rachel Rathaway,Public,Good,Blue,Red,Female,Yes,1,Nov-1989,New Earth,DC,<10
12,Face II,Secret,Good,Brown,Black,Male,No,5,Jan-2009,New Earth,DC,<10
13,Tag-A-Long Thomas,Secret,Good,Brown,Blond,Male,Yes,3,Nov-1961,New Earth,DC,<10
14,Frederick Tuckman,Public,Good,Black,Black,Male,Yes,13,May-2006,New Earth,DC,<100
15,Anthony Mantegna,Secret,Good,Grey,Black,Male,Yes,24,May-1988,New Earth,DC,<100
16,Clay Kendall,Public,Good,Black,Blond,Male,No,19,Jan-1984,New Earth,DC,<100
17,Bernhard Baker,Secret,Good,Blue,Blond,Male,Yes,229,Sep-1965,New Earth,DC,<250
18,Michelle Carter,Secret,Good,Blue,Blond,Female,Yes,32,Jul-1986,New Earth,DC,<100
19,Holly Granger,Secret,Good,Blue,Red,Female,No,23,May-2005,New Earth,DC,<100
20,Cody Driscoll,Secret,Good,Green,Blond,Male,Yes,52,Oct-1996,New Earth,DC,<100
21,Joseph Hand,Secret,Good,Brown,Brown,Male,Yes,3,Jun-1964,New Earth,DC,<10
22,Jonah Hex,Public,Good,Blue,Blond,Male,No,291,Mar-1972,New Earth,DC,<500
23,Molecule,Secret,Good,Green,Blond,Male,No,4,Dec-2006,New Earth,DC,<10
24,Henry Hackenbacker,Public,Good,Brown,Blond,Male,Yes,2,Mar-2011,New Earth,DC,<10
25,Taj-Ze,Public,Good,Brown,Black,Male,Yes,8,Feb-1969,New Earth,DC,<10
26,Starfire,Public,Good,Blue,Black,Female,Yes,15,Sep-1976,New Earth,DC,<100
27,Ranakar,Public,Good,Blue,White,Male,Yes,1,Aug-1983,New Earth,DC,<10
28,Dennap,Public,Good,Blue,White,Female,Yes,1,Nov-2003,New Earth,DC,<10
29,Xax,Secret,Good,Black,Grey,Male,No,25,Dec-1961,New Earth,DC,<100
30,Ion,Secret,Good,Green,No,Unknown,No,45,Apr-2006,New Earth,DC,<100
31,T-Cher,Secret,Good,Blue,Black,Male,Yes,3,Aug-1983,New Earth,DC,<10
32,Jack Jordan,Secret,Good,Yellow,Brown,Male,Yes,28,Dec-1961,New Earth,DC,<100
33,Solomon Driver,Public,Good,Hazel,Brown,Male,Yes,4,Sep-1973,New Earth,DC,<10
34,Althesia,Secret,Good,Blue,Brown,Female,Yes,1,Jul-1997,New Earth,DC,<10
35,Victory,Secret,Good,Black,White,Male,Yes,130,Sep-1941,New Earth,DC,<250
36,Jonathan L. Thunder,Secret,Good,Blue,Blond,Male,Yes,282,Jan-1940,New Earth,DC,<500
37,Bzzd,Public,Good,Red,Brown,Male,No,15,Jul-2007,New Earth,DC,<100
38,Guinevere,Public,Good,Black,Blond,Female,Yes,15,Feb-1936,New Earth,DC,<100
39,Mark Armstrong,Secret,Good,Green,Brown,Male,Yes,1,Dec-1994,New Earth,DC,<10
40,Arthur Pendragon,Public,Good,Brown,Brown,Male,Yes,41,Feb-1936,New Earth,DC,<100
41,Fernando Suarez,Non-dual,Good,Brown,Black,Male,Yes,4,Jan-1940,New Earth,DC,<10
42,Khaji Ro,Secret,Good,Blue,Brown,Female,Yes,2,Mar-2009,New Earth,DC,<10
43,Master Shoju,Public,Good,Blue,Black,Male,No,2,Oct-1981,New Earth,DC,<10
44,SVRMiger,Secret,Good,Blue,Bald,Male,Yes,1,Aug-2011,New Earth,DC,<10
45,Janet Jones,Public,Good,Brown,Blond,Female,Yes,5,May-1969,New Earth,DC,<10
46,Boreas,Public,Good,Black,Black,Male,Yes,2,Nov-1966,New Earth,DC,<10
47,Ephyra,Public,Good,White,Blue,Female,Yes,6,Sep-1996,New Earth,DC,<10
48,Ace the Bat-Hound,Secret,Good,Black,Brown,Male,Yes,14,May-1991,New Earth,DC,<100
49,Rhea Jones,Secret,Good,White,Red,Female,Yes,35,Dec-1987,New Earth,DC,<100
50,Mona Bennett,Secret,Good,Blue,Blond,Female,Yes,48,Jul-1963,New Earth,DC,<100
51,Topo II,Secret,Good,White,Brown,Male,Yes,8,May-2007,New Earth,DC,<10
52,Cockroach,Secret,Good,Brown,Black,Female,No,1,Aug-2011,New Earth,DC,<10
53,Manitou Raven,Secret,Good,White,Black,Male,No,41,Jul-2002,New Earth,DC,<100
54,Boston Brand,Secret,Good,Blue,Black,Male,No,262,Oct-1967,New Earth,DC,<500
55,Liana,Public,Good,Green,Black,Female,Yes,1,Mar-1983,New Earth,DC,<10
56,Athena Tremor,Secret,Good,Blue,Blond,Female,Yes,27,Jun-1966,New Earth,DC,<100
57,Kem-L,Public,Good,Blue,Black,Male,Yes,5,Nov-1989,New Earth,DC,<10
58,Hendricks,Public,Good,Green,Brown,Male,Yes,19,Jun-1993,New Earth,DC,<100
59,Jamie Sawyer,Public,Good,Brown,Brown,Female,Yes,6,Mar-1988,New Earth,DC,<10
60,Maks Chazov,Public,Good,Blue,Brown,Male,Yes,6,Mar-2008,New Earth,DC,<10
61,Chlorino,Secret,Good,White,Black,Male,Yes,1,Jul-1989,New Earth,DC,<10
62,Ryuku Orsono,Secret,Good,Black,Black,Male,No,6,Aug-2000,New Earth,DC,<10
63,Jessica Midnight,Public,Good,Blue,Black,Female,Yes,40,Oct-2002,New Earth,DC,<100
64,"Pedro, Ghost Patrol",Public,Good,Brown,Brown,Male,No,29,May-1942,New Earth,DC,<100
65,Nora Reid,Public,Good,Blue,Red,Female,Yes,5,Aug-2010,New Earth,DC,<10
66,Kraken,Public,Good,Brown,Black,Female,Yes,10,Jan-2008,New Earth,DC,<10
67,Adrasteia,Public,Good,Green,Red,Female,No,3,Jan-2011,New Earth,DC,<10
68,Taryia,Public,Good,Green,Red,Female,Yes,7,Dec-1985,New Earth,DC,<10
69,Vortex,Secret,Good,Black,Black,Male,Yes,22,May-2004,New Earth,DC,<100
70,Moses Lwanga,Secret,Good,Brown,Black,Male,Yes,21,Dec-2008,New Earth,DC,<100
71,Dean Hunter,Secret,Good,Blue,Blond,Male,Yes,3,Dec-1992,New Earth,DC,<10
72,Jake Bennetti,Non-dual,Good,Black,Brown,Male,Yes,13,Apr-1997,New Earth,DC,<100
73,Lead,Secret,Good,Photocellular,Black,Male,Yes,161,Apr-1962,New Earth,DC,<250
74,TO-T-U-K,Public,Good,Blue,No,Male,No,3,Jan-1987,New Earth,DC,<10
75,Lagoon Boy,Secret,Good,Red,White,Male,Yes,28,Dec-1998,New Earth,DC,<100
76,Benjamin Nakashima,Non-dual,Good,Red,Black,Male,Yes,14,Oct-1993,New Earth,DC,<100
77,Mas y Menos,Secret,Good,Black,Black,Male,Yes,4,Sep-2006,New Earth,DC,<10
78,Bonnie Robinson,Public,Good,Blue,Blond,Female,Yes,5,Jun-1992,New Earth,DC,<10
79,Laham,Secret,Good,Blue,Brown,Male,No,2,Sep-1992,New Earth,DC,<10
80,La Sangre,Secret,Good,Red,Red,Female,Yes,1,Aug-2009,New Earth,DC,<10
81,Hannibal Martin,Non-dual,Good,Brown,Brown,Male,Yes,7,Jun-1993,New Earth,DC,<10
82,Simon Lippman,Public,Good,Brown,Brown,Male,Yes,10,Jan-2004,New Earth,DC,<10
83,Eos,Public,Good,Blue,White,Female,Yes,3,Nov-1987,New Earth,DC,<10
84,Stuart Rawlings,Public,Good,Blue,Brown,Male,Yes,1,Mar-2010,New Earth,DC,<10
85,Malagigi,Public,Good,Blue,White,Male,Yes,5,Oct-1981,New Earth,DC,<10
86,Ramban,Secret,Good,Brown,Black,Male,Yes,16,Sep-1990,New Earth,DC,<100
87,Markus Clay,Public,Good,Brown,Black,Male,Yes,19,Mar-2008,New Earth,DC,<100
88,Son of the Fallen,Public,Good,Black,Black,Male,Yes,5,Jan-2009,New Earth,DC,<10
89,Jacob Kane,Public,Good,Yellow,Blond,Male,Yes,31,Aug-2009,New Earth,DC,<100
90,Chase Lawler,Secret,Good,Brown,Brown,Male,No,16,Oct-1994,New Earth,DC,<100
91,Seth Aiden,Secret,Good,Yellow,Blond,Male,Yes,7,Dec-2009,New Earth,DC,<10
92,Lilith Clay,Secret,Good,Green,Red,Female,No,107,Feb-1970,New Earth,DC,<250
93,Todd Rice,Public,Good,Brown,Brown,Male,Yes,208,Sep-1983,New Earth,DC,<250
94,Iron,Secret,Good,Photocellular,Brown,Male,Yes,161,Apr-1962,New Earth,DC,<250
95,Tezumak,Secret,Good,Hazel,Brown,Male,No,8,Jul-2002,New Earth,DC,<10
96,Neptune,Public,Good,Blue,Black,Male,Yes,13,Sep-1945,New Earth,DC,<100
97,Hugh Danzizen,Secret,Good,Black,Brown,Male,Yes,2,Dec-1996,New Earth,DC,<10
98,Brother Power,Secret,Good,Blue,Blond,Male,Yes,7,Oct-1968,New Earth,DC,<10
99,Emily Briggs,Public,Good,Blue,Red,Female,Yes,107,Sep-1985,New Earth,DC,<250
100,Alec Holland,Public,Good,Blue,Blond,Male,Yes,46,Nov-1972,New Earth,DC,<100
101,KT21,Public,Good,Black,Blond,Female,Yes,14,Apr-1985,New Earth,DC,<100
102,James Cameron,Public,Good,Red,Brown,Male,Yes,38,Sep-1987,New Earth,DC,<100
103,Mechanic,Secret,Good,Brown,Black,Male,Yes,3,Dec-2010,New Earth,DC,<10
104,Dmitri Mishkin,Public,Good,Black,White,Male,No,16,Mar-1981,New Earth,DC,<100
105,Edward Craig,Public,Good,Yellow,No,Male,No,13,Mar-1983,New Earth,DC,<100
106,Agrippe,Public,Good,Brown,Red,Female,Yes,1,Mar-2008,New Earth,DC,<10
107,James Wright,Public,Good,Blue,Brown,Male,No,1,Aug-2004,New Earth,DC,<10
108,Thomas Longstreet,Public,Good,Brown,White,Male,Yes,13,Aug-1989,New Earth,DC,<100
