,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,Fashion Thing,Public,Neutral,Blue,White,Female,Yes,14,Sep-1968,New Earth,DC,<100
1,Fidel Castro,Public,Neutral,Black,White,Male,Yes,4,Jan-1988,New Earth,DC,<10
2,Teekl,Public,Neutral,Red,Orange,Male,Yes,43,Mar-1973,New Earth,DC,<100
3,Chantinelle,Public,Neutral,Brown,Brown,Female,Yes,9,Jul-1991,New Earth,DC,<10
4,Jeb Turnbull,Public,Neutral,Brown,Black,Male,Yes,3,Aug-1974,New Earth,DC,<10
5,Thelma Gordon,Public,Neutral,Brown,White,Female,No,5,Nov-1987,New Earth,DC,<10
6,Thrax,Secret,Neutral,Green,Red,Male,No,1,Mar-1996,New Earth,DC,<10
7,Bizarro Blue Beetle,Secret,Neutral,Blue,Brown,Male,Yes,1,Apr-2011,New Earth,DC,<10
8,Kan-Z,Public,Neutral,Blue,Blond,Male,Yes,2,Dec-1987,New Earth,DC,<10
9,Slade Wilson,Secret,Neutral,Blue,White,Male,Yes,336,Dec-1980,New Earth,DC,<500
10,Harry Bailey,Public,Neutral,Blue,Brown,Male,Yes,15,Jul-2008,New Earth,DC,<100
11,Suula,Secret,Neutral,Blue,White,Female,Yes,1,Mar-1990,New Earth,DC,<10
12,Jill Carlyle,Secret,Neutral,Brown,Black,Female,Yes,15,Apr-2000,New Earth,DC,<100
13,Kelor,Public,Neutral,Photocellular,Blond,Genderless,Yes,2,Feb-1988,New Earth,DC,<10
14,Destiny,Secret,Neutral,Brown,Black,Male,Yes,27,Aug-1972,New Earth,DC,<100
15,Lita Brand,Public,Neutral,Blue,Black,Female,Yes,8,Apr-1968,New Earth,DC,<10
16,Nine of Spades I,Secret,Neutral,Blue,Black,Male,Yes,3,Jul-1990,New Earth,DC,<10
17,Shor,Secret,Neutral,Green,Black,Female,Yes,3,May-2009,New Earth,DC,<10
18,Monitor Bob,Public,Neutral,Red,Black,Male,No,33,Jul-2007,Unknown,DC,<100
19,Xanthi,Secret,Neutral,Black,White,Male,No,5,Jan-1989,New Earth,DC,<10
20,Helena Kyle,Public,Neutral,Green,Brown,Female,Yes,25,May-2006,New Earth,DC,<100
