,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
0,Dave Finn,Secret,Good,Blue,Black,Male,Yes,1,Jul/2002,Earth-616,Marvel,<10
1,Katherine Power,Secret,Good,Blue,Red,Female,Yes,106,Aug/1984,Earth-616,Marvel,<250
16,Sally Avril,Secret,Good,Brown,Black,Female,No,76,Aug/1962,Earth-616,Marvel,<100
24,Plazm,Secret,Good,Red,Blue,Male,No,4,Jul/2001,Earth-616,Marvel,<10
35,LaHoya Scripps,Secret,Good,Blue,Blond,Female,Yes,8,Dec/1991,Earth-616,Marvel,<10
41,Tantaro,Secret,Good,Green,Black,Male,Yes,4,Mar/1994,Earth-616,Marvel,<10
47,Hector,Secret,Good,Brown,Black,Male,Yes,29,Mar/1991,Earth-616,Marvel,<100
48,Shola Inkose,Secret,Good,Brown,Bald,Male,Yes,23,Dec/2002,Earth-616,Marvel,<100
51,Esteban Ortega,Public,Good,Red,Grey,Male,Yes,11,Aug/2004,Earth-616,Marvel,<100
52,Anakalak,Non-dual,Good,Green,No,Male,Yes,1,Sep/1993,Earth-616,Marvel,<10
57,Wire,Secret,Good,Red,White,Male,Yes,1,May/1993,Earth-616,Marvel,<10
65,Nima,Secret,Good,Red,No,Male,Yes,2,Dec/2008,Earth-616,Marvel,<10
68,Hugh Dare,Secret,Good,Brown,Black,Male,Yes,3,Jul/1976,Earth-616,Marvel,<10
69,William Nasland,Secret,Good,Blue,Black,Male,No,49,Mar/1977,Earth-616,Marvel,<100
72,Pietro Sapristi,Public,Good,White,Black,Male,Yes,2,Nov/1986,Earth-616,Marvel,<10
73,Henry Enwhistle,Public,Good,Red,Brown,Male,Yes,1,Dec/1948,Earth-616,Marvel,<10
77,Quill,Public,Good,Brown,Black,Male,Yes,6,Jul/1988,Earth-616,Marvel,<10
82,General Bridges,Secret,Good,Blue,Blond,Male,Yes,9,Mar/1968,Earth-616,Marvel,<10
83,Henrietta Hunter,Public,Good,Grey,Black,Female,Yes,6,Oct/2003,Earth-616,Marvel,<10
87,Illarion Pavlovich Ramskov,Secret,Good,Brown,Brown,Male,No,10,Nov/1990,Earth-616,Marvel,<10
88,Henry Russo,Secret,Good,Brown,Blond,Male,Yes,28,Mar/2009,Earth-616,Marvel,<100
89,David Munroe II,Public,Good,Brown,Black,Male,Yes,2,Jul/2006,Earth-616,Marvel,<10
95,Grace,Secret,Good,Blue,Blue,Female,Yes,5,Sep/1999,Earth-616,Marvel,<10
97,Titanis,Secret,Good,Blue,Black,Female,Yes,2,Jul/1976,Earth-616,Marvel,<10
107,Demitrius Collins,Public,Good,Brown,Black,Male,Yes,21,Jul/1998,Earth-616,Marvel,<100
108,Lady of Ten Suns,Secret,Good,Red,Orange,Female,Yes,5,Sep/2009,Earth-616,Marvel,<10
113,Monkey Joe,Public,Good,Black,Brown,Male,No,7,Dec/1991,Earth-616,Marvel,<10
118,Tanak Valt,Public,Good,Blue,Black,Male,Yes,8,Mar/1979,Earth-616,Marvel,<10
121,Pandora Destine,Secret,Good,Blue,Red,Female,Yes,20,Jul/1994,Earth-616,Marvel,<100
122,Sinjin Quarrel,Secret,Good,Gold,Black,Male,Yes,5,Dec/1996,Earth-616,Marvel,<10
135,Merriem Drew,Secret,Good,Purple,Black,Female,No,12,Apr/1978,Earth-616,Marvel,<100
137,Amp,Secret,Good,Brown,White,Female,Yes,2,May/2008,Earth-616,Marvel,<10
140,Dyke,Secret,Good,White,Blond,Female,Yes,1,Feb/1990,Earth-616,Marvel,<10
146,Curtis,Public,Good,Green,Bald,Male,Yes,3,Nov/1965,Earth-616,Marvel,<10
149,Cord Mather,Public,Good,Orange,Black,Male,No,4,Aug/1993,Earth-616,Marvel,<10
167,Gladys Smallwood,Secret,Good,Blue,Green,Female,Yes,4,Sep/1983,Earth-616,Marvel,<10
